Verse No,Verse,Class
1,"This is the Book; in it is guidance sure, without doubt, to those who fear God",Rest_verses
2,Who believe in the Unseen are steadfast in prayer and spend out of what We have provided for them.,Fasting
3,And who believe in the Revelation sent to thee and sent before thy time and (in their hearts) have the assurance of the Hereafter.,Rest_verses
4,They are on (true) guidance from their Lord and it is these who will prosper.,Pilgrimage
5,As to those who reject Faith it is the same to them whether thou warn them or do not warn them; they will not believe.,Rest_verses
6,God hath set a seal on their hearts and on their hearing and on their eyes is a veil; great is the penalty they (incur).,Rest_verses
7,Of the people there are some who say: OWe believe in God and the Last Day” but they do not (really) believe.,Rest_verses
8, Fain would they deceive God and those who believe but they only deceive themselves and realize (it) not!,Rest_verses
9,In their hearts is a disease; and God has increased their disease and grievous is the penalty they (incur) because they are false (to themselves).,Rest_verses
10,When it is said to them: OMake not mischief on the earth” they say: OWhy we only want to make peace!”,Rest_verses
11,"Of a surety, they are the ones who make mischief but they realize (it) not.",Rest_verses
12,When it is said to them: OBelieve as the others believe” they say: OShall we believe as the fools believe?” nay of a surety they are the fools but they do not know.,Rest_verses
13,When they meet those who believe they say: OWe believe” but when they are alone with their evil ones they say: OWe are really with you we (were) only jesting.”,Rest_verses
14,God will throw back their mockery on them and give them rope in their trespasses; so they will wander like blind ones (to and fro).,Rest_verses
15,These are they who have bartered guidance for error: but their traffic is profitless and they have lost true direction.,Rest_verses
16,Their similitude is that of a man who kindled a fire; when it lighted all around him God took away their light and left them in utter darkness so they could not see.,Rest_verses
17,Deaf dumb and blind they will not return (to the path).,Rest_verses
18,Or (another similitude) is that of a rain-laden cloud from the sky; in it are zones of darkness and thunder and lightning they press their fingers in their ears to keep out the stunning thunder-clap the while they are in terror of death. But God is ever round the rejecters of Faith!,Rest_verses
19,The lightning all but snatches away their sight; every time the light (helps) them they walk therein and when the darkness grows on them they stand still. And if God willed He could take away their faculty of hearing and seeing; for God hath power over all things.,Rest_verses
20,O ye people! adore your Guardian-Lord who created you and those who came before you that ye may have the chance to learn righteousness.,Rest_verses
21,Who has made the earth your couch and the heaven your canopy; and sent down rain from the heavens; and brought forth therewith fruits for your sustenance; then set not up rivals unto God when ye know (the truth).,Rest_verses
22,And if ye are in doubt as to what We have revealed from time to time to Our servant then produce a Surah like thereunto; and call your witnesses or helpers (if there are any) besides God if your (doubts) are true.,Rest_verses
23,But if ye cannot and of a surety ye cannot then fear the fire whose fuel is Men and Stones which is prepared for those who reject Faith.,Rest_verses
24,But give glad tidings to those who believe and work righteousness that their portion is Gardens beneath which rivers flow. Every time they are fed with fruits therefrom they say: OWhy this is what we were fed with before” for they are given things in similitude; and they have therein companions (pure and holy); and they abide therein (for ever).,Rest_verses
25,Allah disdains not to use the similitude of things lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: OWhat means God by this similitude?” By it He causes many to stray and many He leads into the right path but He causes not to stray except those who forsake (the path).,Rest_verses
26,Those who break God’s Covenant after it is ratified and who sunder what God has ordered to be joined and do mischief on earth: These cause loss (only) to themselves.,Rest_verses
27,How can ye reject the faith in God? Seeing that ye were without life and He gave you life; then will He cause you to die and will again bring you to life; and again to Him will ye return.,Rest_verses
28,It is He who hath created for you all things that are on earth; moreover His design comprehended the heavens for He gave order and perfection to the seven firmaments; and of all things he hath perfect knowledge.,Rest_verses
29,Behold thy Lord said to the angels: OI will create a vicegerent on earth.” They said OWilt thou place therein one who will make mischief therein and shed blood? Whilst we do celebrate Thy praises and glorify Thy holy (name)?” He said: OI know what ye know not.”,Rest_verses
30,And He taught Adam the nature of all things; then He placed them before the angels and said: OTell Me the nature of these if ye are right.”,Rest_verses
31,They said: OGlory to Thee of knowledge we have none save that Thou hast taught us: in truth it is Thou who art perfect in knowledge and wisdom.”,Rest_verses
32,He said: OO Adam! tell them their natures.” When he had told them God said: ODid I not tell you that I know the secrets of heaven and earth and I know what ye reveal and what ye conceal?”,Rest_verses
33,And behold We said to the angels: OBow down to Adam”; and they bowed down not so Iblis he refused and was haughty he was of those who reject Faith.,Rest_verses
34,We said: OO Adam! dwell thou and thy wife in the garden and eat of the bountiful things therein as (where and when) ye will but approach not this tree or ye run into harm and transgression.”,Rest_verses
35,Then did Satan make them slip from the (garden) and get them out of the state (of felicity) in which they had been. We said: OGet ye down all (ye people) with enmity between yourselves. On earth will be your dwelling place and your means of livelihood for a time.”,Rest_verses
36,Then learnt Adam from his Lord words of inspiration and his Lord turned toward him; for He is Oft-Returning Most Merciful.,Pilgrimage
37,We said: OGet ye down all from here; and if as is sure there comes to you guidance from Me” whosoever follows My guidance on them shall be no fear nor shall they grieve.,Rest_verses
38,OBut those who reject Faith and belie Our Signs they shall be Companions of the Fire; they shall abide therein.”,Rest_verses
39,O children of Israel! call to mind the (special) favor which I bestowed upon you and fulfil your covenant with Me as I fulfil My covenant with you and fear none but Me.,Rest_verses
40,nd believe in what I reveal confirming the revelation which is with you and be not the first to reject faith therein nor sell My Signs for a small price: and fear Me and Me alone.,Rest_verses
41,And cover not Truth with falsehood nor conceal the Truth when ye know (what it is).,Rest_verses
42,And be steadfast in prayer; practice regular charity; and bow down your heads with those who bow down (in worship).,Rest_verses
43,Do ye enjoin right conduct on the people and forget (to practice it) yourselves and yet ye study the Scripture? Will ye not understand?,Rest_verses
44,Nay seek (God’s) help with patient perseverance and prayer: it is indeed hard except to those who bring a lowly spirit.,Rest_verses
45,Who bear in mind the certainty that they are to meet their Lord and that they are to return to Him.,Pilgrimage
46,O children of Israel! call to mind the (special) favor which I bestowed upon You and that I preferred you to all others (for My message).,Rest_verses
47,Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her nor shall compensation be taken from her nor shall anyone be helped (from outside).,Rest_verses
48,And remember We delivered you from the people of Pharaoh: they set you hard tasks and punishments slaughtered your sons and let your womenfolk live; therein was a tremendous trial from your Lord.,Rest_verses
49,And remember We divided the sea for you and saved you and drowned Pharaoh’s people within your very sight.,Rest_verses
50,And remember We appointed forty nights for Moses and in his absence you took the calf (for worship) and ye did grievous wrong.,Rest_verses
51,Even then We did forgive you; there was a chance for you to be grateful.,Rest_verses
52,And remember We gave Moses the Scripture and the criterion (between right and wrong) there was a chance for you to be guided aright.,Rest_verses
53,And remember Moses said to his people: OO my people! Ye have indeed wronged yourselves by your worship of the calf so turn (in repentance) to your Maker and slay yourselves (the wrong-doers); that will be better for you in the sight of your Maker.” Then He turned toward you (in forgiveness); for He is Oft-returning Most Merciful.,Rest_verses
54,And remember ye said: OO Moses! we shall never believe in thee until we see God manifestly” but ye were dazed with thunder and lightning even as ye looked on.,Rest_verses
55,Then We raised you up after your death; ye had the chance to be grateful.,Fasting
56,And We gave You the shade of clouds and sent down to you manna and quails saying: OEat of the good things We have provided for you”; (but they rebelled); to Us they did no harm but they harmed their own souls.,Rest_verses
57,And remember We said: OEnter this town and eat of the plenty therein as ye wish; but enter the gate with humility in posture and in words and We shall forgive you your faults and increase (the portion of) those who do good.”,Rest_verses
58,But the transgressors changed the word from that which had been given them; so We sent on the transgressors a plague from heaven for that they infringed (our command) repeatedly.,Rest_verses
59,And remember Moses prayed for water for his people; We said: OStrike the rock with thy staff.” Then gushed forth therefrom twelve springs. Each group knew its own place for water. So eat and drink of the sustenance provided by God and do no evil nor mischief on the (face of the) earth.,Rest_verses
60,And remember ye said: OO Moses! we cannot endure one kind of food (always); so beseech thy Lord for us to produce for us of what the earth groweth its pot-herbs and cucumbers its garlic lentils and onions.” He said: Owill ye exchange the better for the worse? Go ye down to any town and ye shall find what ye want!” They were covered with humiliation and misery; they drew on themselves the wrath of God. This because they went on rejecting the signs of God and slaying His messengers without just cause. This because They rebelled and went on transgressing.,Rest_verses
61,Those who believe (in the Qur’an) and those who follow the Jewish (Scriptures) and the Christians and the Sabians and who believe in God and the last day and work righteousness shall have their reward with their Lord; on them shall be no fear nor shall they grieve.,Rest_verses
62,And remember We took your covenant and We raised above you (the towering height) of Mount (Sinai) (saying): OHold firmly to what We have given you and bring (ever) to remembrance what is therein perchance ye may fear God.”,Rest_verses
63,But ye turned back thereafter had it not been for the Grace and Mercy of God to you ye had surely been among the lost.,Rest_verses
64,And well ye knew those amongst you who transgressed in the matter of the Sabbath; We said to them: OBe ye apes despised and rejected.”,Rest_verses
65,So We made it an example to their own time and to their posterity and a lesson to those who fear God.,Rest_verses
66,And remember Moses said to his people: OGod commands that ye sacrifice a heifer.” They said: OMakest thou a laughing-stock of us?” He said: OGod save me from being an ignorant (fool)!”,Rest_verses
67,They said: OBeseech on our behalf thy Lord to make plain to us what (heifer) it is! He said: OHe says: The heifer should be neither too old nor too young but of middling age; now do what ye are commanded!.,Rest_verses
68,They said: OBeseech on our behalf thy Lord to make plain to us her color.” He said: ” He says a fawn-colored heifer pure and rich in tone the admiration of beholders!”,Rest_verses
69,They said OBeseech on our behalf thy Lord to make plain to us what she is to us are all heifers alike; we wish indeed for guidance if God wills.”,Pilgrimage
70,He said: OHe says a heifer not trained to till the soil or water the fields; sound and without blemish.” They said: ONow hast thou brought the truth.” Then they offered her in sacrifice but not with good- will.,Rest_verses
71,Remember ye slew a man and fell into a dispute among yourselves as to the crime but God was to bring forth what ye did hide.,Rest_verses
72,So We said: OStrike the (body) with a piece of the (heifer).” Thus God bringeth the dead to life and showeth you His Signs perchance ye may understand.,Rest_verses
73,Thenceforth were your hearts hardened; they became like a rock and even worse in hardness. For among rocks there are some from which rivers gush forth; others there are which when split asunder send forth water; and others which sink for fear of God. And God is not unmindful of what ye do.,Rest_verses
74,Can ye (O ye men of Faith) entertain the hope that they will believe in you? Seeing that a party of them heard the word of God and perverted it knowingly after they understood it.,Rest_verses
75,Behold! when they meet the men of Faith they say: OWe believe” but when they meet each other in private they say: OShall you tell them what God hath revealed to you that they may engage you in argument about it before your Lord?” Do ye not understand (their aim)?,Rest_verses
76,Know they not that God knoweth what they conceal and what they reveal?,Pilgrimage
77,And there are among them illiterates who know not the Book but (see therein their own) desires and they do nothing but conjecture.,Rest_verses
78,Then woe to those who write the Book with their own hands and then say: OThis is from God” to traffic with it for a miserable price! Woe to them for what their hands do write and for the gain they make thereby.,Rest_verses
79,And they say: OThe fire shall not touch us but for a few numbered days”; Say: OHave ye taken a promise from God for He never breaks His promise? Or is it that ye say of God what ye do not know?”,Rest_verses
80,Nay those who seek gain in Evil and are girt round by their sins they are Companions of the Fire therein shall they abide (for ever).,Rest_verses
81,But those who have faith and work righteousness they are Companions of the Garden therein shall they abide (for ever).,Rest_verses
82,And remember We took a covenant from the children of Israel (to this effect): worship none but God; treat with kindness your parents and kindred and orphans and those in need; speak fair to the people; be steadfast in prayer; and practice regular charity. Then did ye turn back except a few among you and ye backslide (even now).,Rest_verses
83,And remember We took your Covenant (to this effect): shed no blood amongst you nor turn out your own people from your homes; and this ye solemnly ratified and to this ye can bear witness.,Rest_verses
84,After this it is ye the same people who slay among yourselves and banish a party of you from their homes; assist (their enemies) against them in guilt and rancor; and if they come to you as captives ye ransom them though it was not lawful for you to banish them. Then is it only a part of the Book that ye believe in and do ye reject the rest? But what is the reward for those among you who behave like this but disgrace in this life? and on the Day of Judgment they shall be consigned to the most grievous penalty. For God is not unmindful of what ye do.,Rest_verses
85,These are the people who buy the life of this world at the price of the Hereafter; their penalty shall not be lightened nor shall they be helped.,Rest_verses
86,We gave Moses the Book and followed him up with a succession of Apostles; We gave Jesus the son of Mary clear (Signs) and strengthened him with the holy spirit. Is it that whenever there comes to you an Apostle with what ye yourselves desire not ye are puffed up with pride? Some ye called impostors and others ye slay!,Rest_verses
87,They say OOur hearts are the wrappings (which preserve God’s word we need no more).” Nay God’s curse is on them for their blasphemy; little is it they believe.,Rest_verses
88,And when there comes to them a Book from God confirming what is with them although from of old they had prayed for victory against those without faith when there comes to them that which they (should) have recognized they refused to believe in it; but the curse of God is on those without Faith.,Rest_verses
89,Miserable is the price for which they have sold their souls in that they deny (the revelation) which God has sent down in insolent envy that God of His Grace should send it to any of His servants He pleases; thus have they drawn on themselves wrath upon wrath. And humiliating is the punishment of those who reject Faith.,Rest_verses
90,When it is said to them: Obelieve in what God hath sent down” they say OWe believe in what was sent down to us”; yet they reject all besides even if it be truth confirming what is with them. Say: OWhy then have ye slain the prophets of God in times gone by if ye did indeed believe?”,Rest_verses
91,There came to you Moses with clear (Signs); yet ye worshipped the Calf (even) after that and ye did behave wrongfully.,Rest_verses
92,And remember We took your Covenant and We raised above you (the towering height) of Mount (Sinai) (saying): OHold firmly to what We have given you and hearken (to the Law)”; they said: OWe hear and we disobey”; and they had to drink into their hearts (of the taint) of the calf because of their faithlessness. Say: OVile indeed are the behests of your faith if ye have any faith!”,Rest_verses
93,Say: OIf the last Home with God be for you specially and not for anyone else then seek ye for death if ye are sincere.”,Rest_verses
94,But they will never seek for death on account of the (sins) which their hands have sent on before them. And God is well acquainted with the wrong-doers.,Pilgrimage
95,Thou wilt indeed find them of all people most greedy of life even more than the idolaters; each one of them wishes he could be given a life of a thousand years; but the grant of such life will not save him from (due) punishment for God sees well all that they do.,Rest_verses
96,Say: Whoever is an enemy to Gabriel for he brings down the (revelation) to thy heart by God’s will a confirmation of what went before and guidance and glad tidings for those who believe.,Rest_verses
97,Whoever is an enemy to God and His angels and apostles to Gabriel and Michael Lo! God is an enemy to those who reject faith.,Rest_verses
98,We have sent down to thee manifest signs (ayat); and none reject them but those who are perverse.,Rest_verses
99,Is it not (the case) that every time they make a Covenant some party among them throw it aside? – Nay most of them are faithless.,Rest_verses
100,And when came to them an Apostle from God confirming what was with them a party of the people of the Book threw away the Book of God behind their backs as if (it had been something) they did not know!,Rest_verses
101,They followed what the evil ones gave out (falsely) against the power of Solomon; the blasphemers were not Solomon but the evil ones teaching men magic and such things as came down at Babylon to the angels Harut and Marut. But neither of these taught anyone (such things) without saying: OWe are only for trial so do not blaspheme.” They learned from them the means to sow discord between man and wife. But they could not thus harm anyone except by God’s permission. And they learned what harmed them not what profited them. And they knew that the buyers of (magic) would have no share in the happiness of the Hereafter. And vile was the price for which they did sell their souls if they but knew!,Rest_verses
102,If they had kept their faith and guarded themselves from evil far better had been the reward from their Lord if they but knew!,Rest_verses
103,O ye of Faith! say not (to the Apostle) words of ambiguous import but words of respect; and hearken (to him); to those without faith is a grievous punishment.,Rest_verses
104,It is never the wish of those without faith among the people of the Book nor of the Pagans that anything good should come down to you from your Lord. But God will choose for His special Mercy whom He will for God is Lord of grace abounding.,Pilgrimage
105,None of Our revelations do We abrogate or cause to be forgotten but We substitute something better or similar; knowest thou not that God hath power over all things?,Rest_verses
106,Knowest thou not that to God belongeth the dominion of the heavens and the earth! And besides Him ye have neither patron nor helper.,Rest_verses
107, Would ye question your Apostle as Moses was questioned of old? But whoever changeth from faith to unbelief hath strayed without doubt from the even way.,Rest_verses
108,Quite a number of the people of the Book wish they could turn you (people) back to infidelity after ye have believed from selfish envy after the truth hath become manifest unto them; but forgive and overlook till God accomplish His purpose; for God hath power over all things.,Rest_verses
109,And be steadfast in prayer and regular in charity: and whatever good ye send forth for your souls before you ye shall find it with God; for God sees well all that ye do.,Rest_verses
110,And they say: ONone shall enter paradise unless he be a Jew or a Christian.” Those are their (vain) desires. Say: OProduce your proof if ye are truthful.”,Rest_verses
111,Nay whoever submits his whole self to God and is a doer of good he will get his reward with his Lord; on such shall be no fear nor shall they grieve.,Rest_verses
